part	roman	latin_title
II	XXIII	De Zachæo et ejus convivio
II	XXIV	De duobus cæcis post egressum Jcricho illuminatis
II	XXV	De effusione unguenti super caput Jesu
II	XXVI	De sessione Domini super pullum et asinam
II	XXVII	De gloriosa Domini susceptione, ipsa die Palmarum
II	XXVIII	De fletu Domini super Jerusalem et ingressu in eam
II	XXIX	De seeunda ejeetione vendentium et ementium de templo
II	XXX	De duobus minutis vidux, et de Pharisæi et Publicani oratione
II	XXXI	De maledictione ficulnex, et grano frumenti, et de principe mundi
II	XXXII	De duobus filiis, quorum unus in vineam ivit, alius ire neglexit
II	XXXIII	De locatione vinex et sanguinariis vinitoribus
II	XXXIV	De invitatis ad nuptias, et de non habente vestem nuptialem
II	XXXV	De quæstione super tributo solvendo, et de muliere septem viros habente
II	XXXVI	De primo et magno, ac secundo et simili Ligis mandato,
II	XXXVII	De Scribis et Pharisæis in doctrina audiendis, sed non in vita imitandis
II	XXXVIII	Quibus debetur væ æternum
II	XXXIX	De signis adventus Domini et consummationis seculi
II	XL	De adventu et persecutione Antichristi
II	XLI	De remediis contra spirituales novissimi temporis tentationes, et de exercitio mentis in Deum
II	XLII	De orando et exspectando adventum Domini, et de posterioribus signis adventus éjus, et consummationis seculi
II	XLIII	De adventu Christi Judicis
II	XLIV	De electorum consolatione ex appropinquante redemptione et de similitudine ficulnex
II	XLV	De die Domini juxta exemplum Noe, vel Loth subito venturo, ac de uno assumpto et alio relicto
II	XLVI	De vigilia patrisfamilias custodientis contra furem domum suam
II	XLVII	De lumbis præcinctis et lucernis ardentibus
II	XLVIII	De decem virginibus
II	XLIX	De talentis et bonis α Domino servis traditis
II	L	De ventilatione arex in extremo judicio
II	LI	De Puscha ct diversis hujus nominis acceptionibus
II	LII	Qua die et cur Judas vendidit Dominum
II	LIII	Meditatio in primis vesperis de cœna Domini
II	LIV	De ablutione pedum Discipulorum
II	LV	De caritativa correctione proditoris et egressu ejus
II	LVI	De institutione sacramenti Eucharistiæ
II	LVII	De sermone et oratione Domini in cœna
II	LVIII	De Passione Domini nostri meditanda, in generali
II	LIX	De primo Completorio, in Passione Domini
II	LX	De Matutinis, in Passione Domini
II	LXI	De Prima, in Passione Domini
II	LXII	De Tertia, in Passionc Domini
II	LXIII	De Sexta, in Passione Domini
II	LXIV	De Nona, in Passione Domini
II	LXV	De secundis Vesperis, in Passione Domini
II	LXVI	De secundo Completorio, in Passione Domini
II	LXVII	Epilogus Dominica Passionis, et de laude crucis
II	LXVIII	De sabbato Sancto, in Passione Domini
II	LXIX	De Resurrectione Domini nostri
II	LXX	Quomodo Dominus Jesus apparuit Matri suæ
II	LXXI	Quomodo Maria Magdalena et alix Marix, et Petrus et Joannes venerunt ad monumentum
