deel	roman	file	chars
4	LXVI	deel4-LXVI.txt	36493
4	LXVII	deel4-LXVII.txt	31204
4	LXVIII	deel4-LXVIII.txt	20534
4	LXIX	deel4-LXIX.txt	21976
4	LXX	deel4-LXX.txt	18624
4	LXXI	deel4-LXXI.txt	61554
4	LXXII	deel4-LXXII.txt	9909
4	LXXIV	deel4-LXXIV.txt	11028
4	LXXV	deel4-LXXV.txt	8854
4	LXXVI	deel4-LXXVI.txt	19547
4	LXXVII	deel4-LXXVII.txt	32182
4	LXXVIII	deel4-LXXVIII.txt	16747
4	LXXIX	deel4-LXXIX.txt	42480
4	LXXX	deel4-LXXX.txt	17113
4	LXXXI	deel4-LXXXI.txt	103363
4	LXXXIV	deel4-LXXXIV.txt	41474
4	LXXXV	deel4-LXXXV.txt	20912
4	LXXXVI	deel4-LXXXVI.txt	40036
4	LXXXVII	deel4-LXXXVII.txt	32880
4	LXXXVIII	deel4-LXXXVIII.txt	26213
4	LXXXIX	deel4-LXXXIX.txt	243394
